"Mppcv";"Mppnm_";"Link2MPG";"Link2PVT"
"4287314";"Asa EG compr. gastro-résist. 100 x 100 mg";"http://www.cbip.be/fr/contents/jump?amppid=174995";"http://www.cbip.be/fr/contents/jump?amppid=174995&view=pvt"
"0457457";"Corotrope sol. perf. i.v. [amp.] 10 x 10 mg / 10 ml";"http://www.cbip.be/fr/contents/jump?amppid=8722";"http://www.cbip.be/fr/contents/jump?amppid=8722&view=pvt"
"3210507";"Comfeel Plus pansement Transparent Post-opératoire 5 x (5 x 25 cm)";"http://www.cbip.be/fr/contents/jump?amppid=129460";"http://www.cbip.be/fr/contents/jump?amppid=129460&view=pvt"
"4117735";"Solu-Medrol sol. inj./perf. (pdr + solv.) i.m./i.v. S.A.B. [flac., Act-O-Vial] 1 x 40 mg";"http://www.cbip.be/fr/contents/jump?amppid=6171";"http://www.cbip.be/fr/contents/jump?amppid=6171&view=pvt"
"4415576";"Fulvestrant Accord sol. inj. i.m. [ser. préremplie] 2 x 250 mg / 5 ml";"http://www.cbip.be/fr/contents/jump?amppid=185009";"http://www.cbip.be/fr/contents/jump?amppid=185009&view=pvt"
"1295377";"Lioresal sol. inj./perf. i.théc. [amp.] 1 x 10 mg / 20 ml";"http://www.cbip.be/fr/contents/jump?amppid=17475";"http://www.cbip.be/fr/contents/jump?amppid=17475&view=pvt"
"0012443";"Omnipaque 240 mg / 1 ml sol. inj./instill. i.v./i.théc./i.artér./i.canal. [flac.] 1 x 25,9 g / 50 ml";"http://www.cbip.be/fr/contents/jump?amppid=75";"http://www.cbip.be/fr/contents/jump?amppid=75&view=pvt"
"1527530";"Sorbalgon mèche T 3 x (2 x 30 cm)";"http://www.cbip.be/fr/contents/jump?amppid=103580";"http://www.cbip.be/fr/contents/jump?amppid=103580&view=pvt"
"4425385";"Perindopril / Amlodipine Teva 10/10 compr. 30 x";"http://www.cbip.be/fr/contents/jump?amppid=184895";"http://www.cbip.be/fr/contents/jump?amppid=184895&view=pvt"
"2479988";"Copa pansement Plus 10 x (7,5 x 8,8 cm)";"http://www.cbip.be/fr/contents/jump?amppid=105999";"http://www.cbip.be/fr/contents/jump?amppid=105999&view=pvt"
"2738284";"Medihoney crème 50 g";"http://www.cbip.be/fr/contents/jump?amppid=168047";"http://www.cbip.be/fr/contents/jump?amppid=168047&view=pvt"
"0012401";"Omnipaque 240 mg / 1 ml sol. inj./instill. i.v./i.théc./i.artér./i.canal. [flac.] 1 x 10,36 g / 20 ml";"http://www.cbip.be/fr/contents/jump?amppid=67";"http://www.cbip.be/fr/contents/jump?amppid=67&view=pvt"
"0039123";"Endoxan sol. inj./perf. (pdr) i.m./i.v. [flac.] 5 x 500 mg";"http://www.cbip.be/fr/contents/jump?amppid=1370";"http://www.cbip.be/fr/contents/jump?amppid=1370&view=pvt"
"0668624";"Miostat sol. inj. i.ocul. [flac.] 12 x 0,15 mg / 1,5 ml";"http://www.cbip.be/fr/contents/jump?amppid=10330";"http://www.cbip.be/fr/contents/jump?amppid=10330&view=pvt"
"3237880";"Aspirine compr. enr. Fasttabs 40 x 500 mg";"http://www.cbip.be/fr/contents/jump?amppid=126946";"http://www.cbip.be/fr/contents/jump?amppid=126946&view=pvt"
"0085050";"Syntocinon sol. inj./perf. i.m./i.v. [amp.] 5 x 10 UI / 1 ml";"http://www.cbip.be/fr/contents/jump?amppid=3715";"http://www.cbip.be/fr/contents/jump?amppid=3715&view=pvt"
"0290189";"Actosolv sol. inj./perf. (pdr) i.v./i.artér. [flac.] 1 x 600 000 UI";"http://www.cbip.be/fr/contents/jump?amppid=7310";"http://www.cbip.be/fr/contents/jump?amppid=7310&view=pvt"
"1475581";"Leustatin sol. perf. à diluer i.v. [amp.] 7 x 10 mg / 10 ml";"http://www.cbip.be/fr/contents/jump?amppid=21857";"http://www.cbip.be/fr/contents/jump?amppid=21857&view=pvt"
"1777093";"Simvastatine Viatris compr. pellic. (séc.) 28 x 20 mg";"http://www.cbip.be/fr/contents/jump?amppid=30718";"http://www.cbip.be/fr/contents/jump?amppid=30718&view=pvt"
"0131136";"Prostin E2 compr. vag. 4 x 3 mg";"http://www.cbip.be/fr/contents/jump?amppid=6213";"http://www.cbip.be/fr/contents/jump?amppid=6213&view=pvt"
"0291948";"Halcion compr. (séc.) 10 x 0,25 mg";"http://www.cbip.be/fr/contents/jump?amppid=7427";"http://www.cbip.be/fr/contents/jump?amppid=7427&view=pvt"
"0601179";"Prepidil gel endocerv. [ser. préremplie] 1 x 0,5 mg / 3 g";"http://www.cbip.be/fr/contents/jump?amppid=9548";"http://www.cbip.be/fr/contents/jump?amppid=9548&view=pvt"
"0481754";"Prostin 15M sol. inj. i.m. [amp.] 1 x 0,25 mg / 1 ml";"http://www.cbip.be/fr/contents/jump?amppid=9050";"http://www.cbip.be/fr/contents/jump?amppid=9050&view=pvt"
"0291955";"Halcion compr. 10 x 0,125 mg";"http://www.cbip.be/fr/contents/jump?amppid=7435";"http://www.cbip.be/fr/contents/jump?amppid=7435&view=pvt"
"0101626";"Anafranil sol. perf. i.v. [amp.] 10 x 25 mg / 2 ml";"http://www.cbip.be/fr/contents/jump?amppid=4465";"http://www.cbip.be/fr/contents/jump?amppid=4465&view=pvt"
"0600197";"Grafalon sol. perf. à diluer i.v. [flac.] 1 x 100 mg / 5 ml";"http://www.cbip.be/fr/contents/jump?amppid=9407";"http://www.cbip.be/fr/contents/jump?amppid=9407&view=pvt"
"0233189";"Glypressin sol. inj./perf. (pdr + solv.) i.v. [flac. + amp.] 5 x 1 mg";"http://www.cbip.be/fr/contents/jump?amppid=6742";"http://www.cbip.be/fr/contents/jump?amppid=6742&view=pvt"
