"MPcv";"Hyrcv";"Hyr_";"MPnm";"IRCV";"BT";"note";"pos";"WadaN";"WadaF";"rank";"nmcv";"Orphan";"SpecRules";"Narcotic";"Amb";"Hosp"
"39537-3004";"0025569";"AIAF";"Phenylephrine Unimedic";"03004";false;;;;;0;0;false;false;false;true;false
"33209-711";"0016147";"RBC";"Levobupivacaine Fresenius Kabi";"00711";false;;;;;0;0;false;false;false;true;false
"16444-2931";"0008334";"JDD";"Medikinet";"02931";true;;;"S";"S";0;0;false;true;false;true;false
"33217-1651";"0025593";"BABABC";"Lixiana";"01651";false;;;;;0;0;false;false;false;true;false
"7708-745";"0014514";"OFDA";"Differin";"00745";false;;;;;0;0;false;false;false;true;false
"9209-745";"8903080";"OFEA";"Epiduo";"00745";false;;;;;0;0;false;false;false;true;false
"29751-604";"0006346";"GCBA";"Yocoral";"00604";false;;;;;0;0;false;false;false;true;false
"30783-67";"0013094";"MADBA";"Etoposide Accord Healthcare";"00067";false;;;;;0;0;false;false;false;true;false
"33266-117";"0001396";"AIAD";"Adrenaline (Tartrate) Aguettant";"00117";false;;;"S";"S";0;0;false;false;false;true;false
"703-174";"0006791";"IAAAA";"Air-Tal";"00174";false;;;;;0;0;false;false;false;true;false
"33282-299";"0002246";"BBAA";"Kovaltry";"00299";false;;;;;0;0;false;false;false;true;false
"3236-1347";"0015354";"PDBA";"Betoptic";"01347";false;;;"B";"B";0;0;false;false;false;true;false
"33241-2501";"0006387";"GDA";"Jinarc";"02501";true;;;;;0;0;false;false;false;true;false
"18630-2485";"0014621";"OHDA";"Neotigason";"02485";true;;;;;0;0;false;false;false;true;false
"11080-3491";"0007260";"IEBA";"Fosamax";"03491";false;;;;;0;0;false;false;false;true;false
"13821-1347";"8900706";"MBBKA";"Jakavi";"01347";false;;;;;0;0;false;false;false;true;false
"22764-3244";"0017723";"RABA";"Rapifen";"03244";false;;;"N";"N";0;0;false;false;true;true;false
"11551-1610";"0002634";"CABA";"Gaviscon";"01610";false;;;;;0;0;false;false;false;true;false
"15487-2097";"0002840";"CDAA";"Litican";"02097";false;;;;;0;0;false;false;false;true;false
"29538-1529";"0020271";"TBAA";"Xenical";"01529";false;;;;;0;0;false;false;false;true;false
"30486-1743";"0017848";"ICBA";"Zyloric";"01743";false;;;;;0;0;false;false;false;true;false
"29447-1529";"0007484";"JAAA";"Xanax";"01529";false;;;;;0;0;false;false;false;true;false
"33274-1834";"0025627";"APA";"Trinomia";"01834";false;;;;;0;0;false;false;false;true;false
"1115-1818";"0017848";"ICBA";"Allopurinol Teva";"01818";false;;;;;0;0;false;false;false;true;false
"1131-174";"0009175";"JIAAA";"Almogran";"00174";false;;;;;0;0;false;false;false;true;false
"1214-1743";"0007484";"JAAA";"Alpraz";"01743";false;;;;;0;0;false;false;false;true;false
"1107-1636";"0017848";"ICBA";"Allopurinol Sandoz";"01636";false;;;;;0;0;false;false;false;true;false
"1248-1636";"0007484";"JAAA";"Alprazolam Sandoz";"01636";false;;;;;0;0;false;false;false;true;false
"33316-1636";"8900227";"KDFA";"Valganciclovir Sandoz";"01636";false;;;;;0;0;false;false;false;true;false
"13961-2048";"0016485";"TCA";"Kalydeco";"02048";false;;;;;0;0;false;false;false;true;false
"596-1800";"0002246";"BBAA";"Advate";"01800";false;;;;;0;0;false;false;false;true;false
"16865-1636";"0008334";"JDD";"Methylfenidaat Sandoz";"01636";false;;;"S";"S";0;0;false;true;false;true;false
"1495-1818";"0014068";"OACA";"Amorolfine Teva";"01818";false;;;;;0;0;false;false;false;true;false
"45138-604";"0013672";"NBABA";"Etalpha";"00604";false;;;;;0;0;false;false;false;true;false
"18002-3624";"0016014";"QDAA";"Mucoangin";"03624";false;;;;;0;0;false;false;false;true;false
"1560-1636";"0009548";"KAAADA";"Amoxiclav Sandoz";"01636";false;;;;;0;0;false;false;false;true;false
"2568-828";"0009548";"KAAADA";"Augmentin";"00828";false;;;;;0;0;false;false;false;true;false
"29447-1289";"0007484";"JAAA";"Xanax";"01289";false;;;;;0;0;false;false;false;true;false
"25007-1289";"0002675";"CBA";"Spasmine";"01289";false;;;;;0;0;false;false;false;true;false
"1081-612";"0017848";"ICBA";"Allopurinol EG";"00612";false;;;;;0;0;false;false;false;true;false
"1438-612";"0000729";"AFAA";"Amlodipine EG";"00612";false;;;;;0;0;false;false;false;true;false
"1537-1636";"0009530";"KAAACA";"Amoxicilline Sandoz";"01636";false;;;;;0;0;false;false;false;true;false
"33381-1792";"0002246";"BBAA";"Elocta";"01792";false;;;;;0;0;false;false;false;true;false
"17822-1321";"0003111";"CECBC";"Movicol";"01321";false;;;;;0;0;false;false;false;true;false
"33399-190";"8900748";"MBDA";"Kyprolis";"00190";false;;;;;0;0;true;false;false;true;false
"1677-612";"0017129";"MECA";"Anastrozole EG";"00612";false;;;"AO";"AO";0;0;false;false;false;true;false
"1651-1636";"0017129";"MECA";"Anastrozol Sandoz";"01636";false;;;"AO";"AO";0;0;false;false;false;true;false
"1685-1818";"0017129";"MECA";"Anastrozole Teva";"01818";false;;;"AO";"AO";0;0;false;false;false;true;false
"1842-1800";"0002196";"BABBEA";"Concentré d’Antithrombine III Baxalta";"01800";false;;;;;0;0;false;false;false;true;false
"33407-67";"0002949";"CDBC";"Palonosetron Accord";"00067";false;;;;;0;0;false;false;false;true;false
"32722-265";"0025346";"OAAF";"Softa-Man";"00265";false;;;;;0;0;false;false;false;true;false
"32607-1784";"0019646";"TAAJA";"Metiblo";"01784";false;;;;;0;0;false;false;false;true;false
"40170-2360";"0018671";"TDA";"Hepeel";"02360";false;;;;;0;0;false;false;false;true;false
