"mppcv";"hyr_";"hyrcv";"ogc";"mpcv";"ouc";"mppnm";"VolgNr";"GalCV";"spef";"cq";"cu";"cfq";"cfu";"aq";"au";"afq";"afu";"atype";"cmucomb";"law";"ssecr";"pupr";"use";"note";"pos";"Content_";"GalNm_";"Index";"RemA";"RemW";"InnCnk";"VosNm_";"BT";"gdkp";"Excip";"Cheapest";"SpecRules";"Narcotic";"Amb";"Hosp"
"4287314";"BAAAB";"0006460";"B";"2121-612";"O";"Asa EG compr. gastro-résist. 100x 100mg";;"00059";;100;"x";;;;;0.0000;;;;;"b";8.1900;;;;;"compr. gastro-résist.";0.9500;0.9500;0.5700;"315";"acide acétylsalicylique oral (cardiovasc.) 100 mg ";false;false;;true;false;false;true;false
"0457457";"ACDA";"0000380";;"6544-2097";"O";"Corotrope sol. perf. i.v. [amp.] 10x 10mg/10ml";;"00162";;10;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"sol. perf. i.v. [amp.]";0.0000;0.0000;0.0000;"21675";"milrinone perfusion 10 mg / 10 ml";false;false;;true;false;false;true;false
"3210507";"ONBA";"0014753";;"6403-2261";"O";"Comfeel Plus pansement Transparent Post-opératoire 5x (5x25cm)";;"00632";;5;"x";;;;;0.0000;;;;;"4";27.9500;;;;;"pansement Transparent Post-opératoire";559.0000;27.9500;27.9500;"34306";"pansements actifs [NOVOS: pansement actif]";false;false;;false;false;false;true;false
"4117735";"EDFA";"0004986";"B";"24836-1446";"O";"Solu-Medrol sol. inj./perf. (pdr+solv.) i.m./i.v. S.A.B. [flac., Act-O-Vial] 1x 40mg";;"00245";;1;"x";;;;"s";1.0000;"ml";;;"R";"b";8.6900;;;;;"sol. inj./perf. (pdr + solv.) i.m./i.v. S.A.B. [flac., Act-O-Vial]";113.0000;1.1300;0.6800;"21170";"méthylprednisolone injection/perfusion 40 mg / 1 ml";false;false;;true;false;false;true;false
"4415576";"MEBA";"0004739";"G";"45518-67";"O";"Fulvestrant Accord sol. inj. i.m. [ser. préremplie] 2x 250mg/5ml";;"00424";;2;"x";;;;;0.0000;;;;"R";"a4";189.4400;;;;;"sol. inj. i.m. [ser. préremplie]";0.0000;0.0000;0.0000;"13920";"fulvestrant injection 250 mg / 5 ml [no switch: onco]";false;true;;true;false;false;true;false
"1295377";"JHA";"0009092";"G";"15321-1347";"O";"Lioresal sol. inj./perf. i.théc. [amp.] 1x 10mg/20ml";;"00052";;1;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"sol. inj./perf. i.théc. [amp.]";0.0000;0.0000;0.0000;"2881";"baclofène injection/perfusion 10 mg / 20 ml";false;true;;true;false;false;true;false
"0012443";"SAACA";"0016246";"B";"37895-752";"O";"Omnipaque 240 mg/1 ml sol. inj./instill. i.v./i.théc./i.artér./i.canal. [flac.] 1x 25,9g/50ml";;"00090";;1;"x";;;;;0.0000;;;;"R";"b";19.5800;;;;;"sol. inj./instill. i.v./i.théc./i.artér./i.canal. [flac.]";480.0000;4.8000;2.8800;"17780";"iohexol injection/instillation 518 mg / 1 ml";false;false;;true;false;false;true;false
"1527530";"ONAA";"0014738";;"24901-2279";"O";"Sorbalgon mèche T 3x (2x30cm)";;"00583";;3;"x";;;;;0.0000;;;;;"4";13.4000;;;;;"mèche T";446.6700;13.4000;13.4000;"34306";"pansements actifs [NOVOS: pansement actif]";false;false;;false;false;false;true;false
"4425385";"AADE";"0000158";"G";"45450-1818";"U";"Perindopril/Amlodipine Teva 10/10 compr. 30x";;"00007";;30;"x";;;;;0.0000;;;;"R";"b";20.4200;;;;;"compr.";16.9700;5.0900;3.0500;"25460";"périndopril + amlodipine oral éq. 8 mg + 10 mg";false;true;;true;false;false;true;false
"2479988";"ONEA";"0014811";;"6494-2238";"O";"Copa pansement Plus 10x (7,5x8,8cm)";;"00374";;10;"x";;;;;0.0000;;;;;"4";26.6400;;;;;"pansement Plus";266.4000;26.6400;26.6400;"34306";"pansements actifs [NOVOS: pansement actif]";false;false;;false;false;false;true;false
"2738284";"ONHA";"8900185";;"41673-3087";"O";"Medihoney crème 50g";;"00048";;1;"x";50.0000;"g";;;0.0000;;;;;"4";16.8000;;;;;"crème";33.6000;16.8000;16.8000;"34306";"pansements actifs [NOVOS: pansement actif]";false;false;;false;false;false;true;false
