"mppcv";"Stofcv";"ppid";"hyr_";"hyrcv_";"mpcv_";"mppnm_";"ppq";"ppgal";"InRank";"StofNm_";"Dim";"InX";"InQ";"InU";"Add";"InBasQ";"InBasU";"InQ2";"InU2";"Amb";"Hosp"
"4287314";"00019";"1";"BAAAB";"0006460";"2121-612";"Asa EG compr. gastro-résist. 100x 100mg";0;"compr. gastro-résist.";1;"acide acétylsalicylique";;;100.0000;"mg";;0.0000;;0.0000;;true;false
"0457457";"01185";"1";"ACDA";"0000380";"6544-2097";"Corotrope sol. perf. i.v. [amp.] 10x 10mg/10ml";0;"sol. perf. i.v. [amp.]";1;"milrinone";;;10.0000;"mg";"/";10.0000;"ml";0.0000;;true;false
"3210507";"01990";"1";"ONBA";"0014753";"6403-2261";"Comfeel Plus pansement Transparent Post-opératoire 5x (5x25cm)";0;"pansement Transparent Post-opératoire";1;"pas de principes actifs";"5 x 25 cm";;0.0000;;;0.0000;;0.0000;;true;false
"4117735";"01165";"1";"EDFA";"0004986";"24836-1446";"Solu-Medrol sol. inj./perf. (pdr+solv.) i.m./i.v. S.A.B. [flac., Act-O-Vial] 1x 40mg";0;"sol. inj./perf. (pdr + solv.) i.m./i.v. S.A.B. [flac., Act-O-Vial]";1;"méthylprednisolone";;;40.0000;"mg";;0.0000;;0.0000;;true;false
"4415576";"00788";"1";"MEBA";"0004739";"45518-67";"Fulvestrant Accord sol. inj. i.m. [ser. préremplie] 2x 250mg/5ml";0;"sol. inj. i.m. [ser. préremplie]";1;"fulvestrant";;;250.0000;"mg";"/";5.0000;"ml";0.0000;;true;false
"1295377";"00162";"1";"JHA";"0009092";"15321-1347";"Lioresal sol. inj./perf. i.théc. [amp.] 1x 10mg/20ml";0;"sol. inj./perf. i.théc. [amp.]";1;"baclofène";;;10.0000;"mg";"/";20.0000;"ml";0.0000;;true;false
"0012443";"00966";"1";"SAACA";"0016246";"37895-752";"Omnipaque 240 mg/1 ml sol. inj./instill. i.v./i.théc./i.artér./i.canal. [flac.] 1x 25,9g/50ml";0;"sol. inj./instill. i.v./i.théc./i.artér./i.canal. [flac.]";1;"iohexol";;;25.9000;"g";"/";50.0000;"ml";0.0000;;true;false
"1527530";"01990";"1";"ONAA";"0014738";"24901-2279";"Sorbalgon mèche T 3x (2x30cm)";0;"mèche T";1;"pas de principes actifs";"2 x 30 cm";;0.0000;;;0.0000;;0.0000;;true;false
"4425385";"02012";"1";"AADE";"0000158";"45450-1818";"Perindopril/Amlodipine Teva 10/10 compr. 30x";0;"compr.";1;"périndopril tosilate";;;10.0000;"mg";;0.0000;;0.0000;;true;false
"4425385";"00094";"1";"AADE";"0000158";"45450-1818";"Perindopril/Amlodipine Teva 10/10 compr. 30x";0;"compr.";2;"amlodipine";;;10.0000;"mg";;0.0000;;0.0000;;true;false
"2479988";"01990";"1";"ONEA";"0014811";"6494-2238";"Copa pansement Plus 10x (7,5x8,8cm)";0;"pansement Plus";1;"pas de principes actifs";"7,5 x 8,8 cm";;0.0000;;;0.0000;;0.0000;;true;false
"2738284";"01990";"1";"ONHA";"8900185";"41673-3087";"Medihoney crème 50g";0;"crème";1;"pas de principes actifs";;;0.0000;;;0.0000;;0.0000;;true;false
"0012401";"00966";"1";"SAACA";"0016246";"37895-752";"Omnipaque 240 mg/1 ml sol. inj./instill. i.v./i.théc./i.artér./i.canal. [flac.] 1x 10,36g/20ml";0;"sol. inj./instill. i.v./i.théc./i.artér./i.canal. [flac.]";1;"iohexol";;;10.3600;"g";"/";20.0000;"ml";0.0000;;true;false
"0039123";"00449";"1";"MAAAA";"0012583";"9100-281";"Endoxan sol. inj./perf. (pdr) i.m./i.v. [flac.] 5x 500mg";0;"sol. inj./perf. (pdr) i.m./i.v. [flac.]";1;"cyclophosphamide";;;500.0000;"mg";;0.0000;;0.0000;;true;false
"0668624";"00287";"1";"PHA";"0015552";"17335-125";"Miostat sol. inj. i.ocul. [flac.] 12x 0,15mg/1,5ml";0;"sol. inj. i.ocul. [flac.]";1;"carbachol";;;0.1500;"mg";"/";1.5000;"ml";0.0000;;true;false
"3237880";"00019";"1";"HBBA";"0006452";"2220-299";"Aspirine compr. enr. Fasttabs 40x 500mg";0;"compr. enr. Fasttabs";1;"acide acétylsalicylique";;;500.0000;"mg";;0.0000;;0.0000;;true;false
"0085050";"01344";"1";"FDAA";"0005777";"25668-1248";"Syntocinon sol. inj./perf. i.m./i.v. [amp.] 5x 10UI/1ml";0;"sol. inj./perf. i.m./i.v. [amp.]";1;"oxytocine";;;10.0000;"UI";"/";1.0000;"ml";0.0000;;true;false
"0290189";"01799";"1";"BACC";"0017483";"430-596";"Actosolv sol. inj./perf. (pdr) i.v./i.artér. [flac.] 1x 600000UI";0;"sol. inj./perf. (pdr) i.v./i.artér. [flac.]";1;"urokinase";;;600000.0000;"UI";;0.0000;;0.0000;;true;false
"1475581";"00389";"1";"MABBA";"0012765";"15016-1024";"Leustatin sol. perf. à diluer i.v. [amp.] 7x 10mg/10ml";0;"sol. perf. à diluer i.v. [amp.]";1;"cladribine";;;10.0000;"mg";"/";10.0000;"ml";0.0000;;true;false
"1777093";"01615";"1";"ALAD";"0001594";"24620-1289";"Simvastatine Viatris compr. pellic. (séc.) 28x 20mg";0;"compr. pellic. (séc.)";1;"simvastatine";;;20.0000;"mg";;0.0000;;0.0000;;true;false
"0131136";"00534";"1";"FDAA";"0005777";"22293-1446";"Prostin E2 compr. vag. 4x 3mg";0;"compr. vag.";1;"dinoprostone";;;3.0000;"mg";;0.0000;;0.0000;;true;false
"0291948";"01781";"1";"JAAT";"0007690";"12104-1446";"Halcion compr. (séc.) 10x 0,25mg";0;"compr. (séc.)";1;"triazolam";;;0.2500;"mg";;0.0000;;0.0000;;true;false
"0601179";"00534";"1";"FDAA";"0005777";"21923-1446";"Prepidil gel endocerv. [ser. préremplie] 1x 0,5mg/3g";0;"gel endocerv. [ser. préremplie]";1;"dinoprostone";;;0.5000;"mg";"/";3.0000;"g";0.0000;;true;false
"0481754";"00295";"1";"FDAA";"0005777";"22285-1446";"Prostin 15M sol. inj. i.m. [amp.] 1x 0,25mg/1ml";0;"sol. inj. i.m. [amp.]";1;"carboprost";;;0.2500;"mg";"/";1.0000;"ml";0.0000;;true;false
"0291955";"01781";"1";"JAAT";"0007690";"12104-1446";"Halcion compr. 10x 0,125mg";0;"compr.";1;"triazolam";;;0.1250;"mg";;0.0000;;0.0000;;true;false
"0101626";"00409";"1";"JCBAB";"0016501";"1628-1248";"Anafranil sol. perf. i.v. [amp.] 10x 25mg/2ml";0;"sol. perf. i.v. [amp.]";1;"clomipramine chlorhydrate";;;25.0000;"mg";"/";2.0000;"ml";0.0000;;true;false
"0600197";"00916";"1";"LCAAA";"0012005";"2378-4176";"Grafalon sol. perf. à diluer i.v. [flac.] 1x 100mg/5ml";0;"sol. perf. à diluer i.v. [flac.]";1;"immunoglobulines antilymphocytes T";;;100.0000;"mg";"/";5.0000;"ml";0.0000;;true;false
"0233189";"01697";"1";"EEBB";"0017681";"11908-661";"Glypressin sol. inj./perf. (pdr+solv.) i.v. [flac.+amp.] 5x 1mg";0;"sol. inj./perf. (pdr + solv.) i.v. [flac. + amp.]";1;"terlipressine acétate";;;1.0000;"mg";;0.0000;;0.0000;;true;false
"2672137";"01990";"1";"ONEA";"0014811";"3244-2261";"Biatain pansement Soft Hold 5x (15x15cm)";0;"pansement Soft Hold";1;"pas de principes actifs";"15 x 15 cm";;0.0000;;;0.0000;;0.0000;;true;false
"3641073";"01570";"1";"ALAC";"0001586";"38307-1289";"Rosuvastatine Viatris compr. pellic. 28x 40mg";0;"compr. pellic.";1;"rosuvastatine";;;40.0000;"mg";;0.0000;;0.0000;;true;false
"1777119";"01615";"1";"ALAD";"0001594";"24620-1289";"Simvastatine Viatris compr. pellic. 98x 40mg";0;"compr. pellic.";1;"simvastatine";;;40.0000;"mg";;0.0000;;0.0000;;true;false
"0614826";"00143";"1";"RACA";"0019133";"27185-232";"Tracrium sol. inj./perf. i.v. [amp.] 5x 50mg/5ml";0;"sol. inj./perf. i.v. [amp.]";1;"atracurium bésilate";;;50.0000;"mg";"/";5.0000;"ml";0.0000;;true;false
"2672129";"01990";"1";"ONEA";"0014811";"3244-2261";"Biatain pansement Soft Hold 5x (10x20cm)";0;"pansement Soft Hold";1;"pas de principes actifs";"10 x 20 cm";;0.0000;;;0.0000;;0.0000;;true;false
"1185610";"00079";"1";"KBAA";"0010421";"1321-794";"AmBisome disp. perf. à diluer (pdr) i.v. Liposomale [flac.] 10x 50mg";0;"disp. perf. à diluer (pdr) i.v. Liposomale [flac.]";1;"amphotéricine B (en liposomes)";;;50.0000;"mg";;0.0000;;0.0000;;true;false
"0852046";"01625";"1";"EEED";"0017715";"24869-596";"Somatostatine-Eumedica sol. perf. (pdr+solv.) i.v. [2x amp.] 1x 3mg";0;"sol. perf. (pdr + solv.) i.v. [2x amp.]";1;"somatostatine";;;3.0000;"mg";;0.0000;;0.0000;;true;false
"0674671";"00143";"1";"RACA";"0019133";"27185-232";"Tracrium sol. inj./perf. i.v. [amp.] 10x 25mg/2,5ml";0;"sol. inj./perf. i.v. [amp.]";1;"atracurium bésilate";;;25.0000;"mg";"/";2.5000;"ml";0.0000;;true;false
"2480283";"01990";"1";"ONAA";"0014738";"6734-2238";"Curasorb mèche 5x (2x30cm)";0;"mèche";1;"pas de principes actifs";"2 x 30 cm";;0.0000;;;0.0000;;0.0000;;true;false
"0855031";"00836";"1";"RAFA";"0021055";"23598-596";"Robinul sol. inj. i.m./i.v. [amp.] 5x 0,2mg/1ml";0;"sol. inj. i.m./i.v. [amp.]";1;"glycopyrronium bromure";;;0.2000;"mg";"/";1.0000;"ml";0.0000;;true;false
"1113323";"00836";"1";"RAFA";"0021055";"23606-596";"Robinul-Neostigmine 0,5/2,5 sol. inj. i.v. [amp.] 10x";0;"sol. inj. i.v. [amp.]";1;"glycopyrronium bromure";;;0.5000;"mg";"/";1.0000;"ml";0.0000;;true;false
"1113323";"01256";"1";"RAFA";"0021055";"23606-596";"Robinul-Neostigmine 0,5/2,5 sol. inj. i.v. [amp.] 10x";0;"sol. inj. i.v. [amp.]";2;"néostigmine méthylsulfate";;;2.5000;"mg";"/";1.0000;"ml";0.0000;;true;false
"1295351";"00162";"1";"JHA";"0009092";"15321-1347";"Lioresal sol. inj./perf. i.théc. [amp.] 1x 0,05mg/1ml";0;"sol. inj./perf. i.théc. [amp.]";1;"baclofène";;;0.0500;"mg";"/";1.0000;"ml";0.0000;;true;false
"1114412";"01196";"1";"RACC";"0019158";"17483-232";"Mivacron sol. inj./perf. i.v. [amp.] 5x 10mg/5ml";0;"sol. inj./perf. i.v. [amp.]";1;"mivacurium";;;10.0000;"mg";"/";5.0000;"ml";0.0000;;true;false
"0895730";"01139";"1";"MFB";"0018978";"28092-281";"Uromitexan sol. inj./perf. i.v. [flac.] 15x 400mg/4ml";0;"sol. inj./perf. i.v. [flac.]";1;"mesna";;;400.0000;"mg";"/";4.0000;"ml";0.0000;;true;false
"0892273";"00066";"1";"ANA";"0001792";"22301-1446";"Prostin VR sol. inj./perf. i.v./i.artér. [amp.] 1x 0,5mg/1ml";0;"sol. inj./perf. i.v./i.artér. [amp.]";1;"alprostadil";;;0.5000;"mg";"/";1.0000;"ml";0.0000;;true;false
"1114404";"01196";"1";"RACC";"0019158";"17483-232";"Mivacron sol. inj./perf. i.v. [amp.] 5x 20mg/10ml";0;"sol. inj./perf. i.v. [amp.]";1;"mivacurium";;;20.0000;"mg";"/";10.0000;"ml";0.0000;;true;false
