"StofCV";"nInNm";"fInNm";"NBase";"NInNmX";"NSaltEstr";"FBase";"FInNmX";"FSaltEstr";"Amb";"Hosp"
"01371";"paroxetine hydrochloride";"paroxétine chlorhydrate";"paroxetine";"watervrij";"hydrochloride";"paroxétine";"anhydre";"chlorhydrate";true;false
"02157";"vernakalant hydrochloride";"vernakalant chlorhydrate";"vernakalant";;"hydrochloride";"vernakalant";;"chlorhydrate";true;false
"00939";"interferon alfa-2b";"interféron alfa-2b";"interferon alfa-2b";"[biologisch, biosynthetisch]";;"interféron alfa-2b";"[biologique, biosynthétique]";;true;false
"02002";"natrium waterstofcarbonaat";"sodium hydrogénocarbonate";"natrium";;"waterstofcarbonaat";"sodium";;"hydrogénocarbonate";true;false
"02147";"edoxaban tosilaat";"édoxaban tosilate";"edoxaban";;"tosilaat";"édoxaban";;"tosilate";true;false
"02496";"mercaptamine hydrochloride";"mercaptamine chlorhydrate";"mercaptamine";;"hydrochloride";"mercaptamine";;"chlorhydrate";true;false
"02154";"homeopathisch ingrediënt";"ingrédient homéopathique";"homeopathisch ingrediënt";"[niet gespecificeerd]";;"ingrédient homéopathique";"[non spécifié]";;true;false
"02155";"dapagliflozine";"dapagliflozine";"dapagliflozine";"propyleenglycol monohydraat";;"dapagliflozine";"propylène glycol monohydraté";;true;false
"02499";"fenobarbital natrium";"phénobarbital sodium";"fenobarbital";;"natrium";"phénobarbital";;"sodium";true;false
"01127";"Mentha x piperita (olie)";"Mentha x piperita (huile)";"Mentha x piperita";"olie [plantaardig]";;"Mentha x piperita";"huile [végétal]";;true;false
"02166";"ceritinib";"céritinib";"ceritinib";;;"céritinib";;;true;false
"02504";"trifaroteen";"trifarotène";"trifaroteen";;;"trifarotène";;;true;false
"02164";"osimertinib";"osimertinib";"osimertinib";;;"osimertinib";;;true;false
"00845";"Haemophilus influenzae type b (polysachariden, geconjugeerd)";"Haemophilus influenzae type b (polysaccharides, conjugué)";"Haemophilus influenzae type b";"polysachariden, geconjugeerd geconjugeerd aan tetanustoxoïd [bacterieel, biologisch]";;"Haemophilus influenzae type b";"polysaccharides, conjugué conjugué à l'Anatoxine Tétanique [bactérien, biologique]";;true;false
"00147";"attapulgiet";"attapulgite";"attapulgiet";"[mineraal]";;"attapulgite";"[minéral]";;true;false
"02172";"tenofovir alafenamide (onder de vorm van fumaraat)";"ténofovir alafénamide (sous forme de fumarate)";"tenofovir";"onder de vorm van fumaraat";"alafenamide";"ténofovir";"sous forme de fumarate";"alafénamide";true;false
"02171";"tenofovir disoproxil (onder de vorm van fumaraat)";"ténofovir disoproxil (sous forme de fumarate)";"tenofovir";"onder de vorm van fumaraat";"disoproxil";"ténofovir";"sous forme de fumarate";"disoproxil";true;false
"02052";"cannabidiol";"cannabidiol";"cannabidiol";"[plantaardig]";;"cannabidiol";"[végétal]";;true;false
"02170";"fenylbutyraat natrium";"phénylbutyrate sodium";"fenylbutyraat";;"natrium";"phénylbutyrate";;"sodium";true;false
"02163";"linaclotide";"linaclotide";"linaclotide";;;"linaclotide";;;true;false
"01957";"tetracycline hydrochloride";"tétracycline chlorhydrate";"tetracycline";;"hydrochloride";"tétracycline";;"chlorhydrate";true;false
"01997";"ascorbaat calcium";"ascorbate calcium";"ascorbaat";;"calcium";"ascorbate";;"calcium";true;false
"02005";"chloride natrium";"chlorure sodium";"chloride";;"natrium";"chlorure";;"sodium";true;false
"01617";"Sisymbrium officinale (droog extract)";"Sisymbrium officinale (extrait sec)";"Sisymbrium officinale";"droog extract [plantaardig]";;"Sisymbrium officinale";"extrait sec [végétal]";;true;false
"01584";"salicylaat diethylamine";"salicylate diéthylamine";"salicylaat";;"diethylamine";"salicylate";;"diéthylamine";true;false
"00070";"glycinaat aluminium";"glycinate aluminium";"glycinaat";;"aluminium";"glycinate";;"aluminium";true;false
"01548";"risedroninezuur";"acide risédronique";"risedroninezuur";;;"acide risédronique";;;true;false
"01993";"bismutoxide";"bismuth oxyde";"bismutoxide";;;"bismuth oxyde";;;true;false
"00026";"Aconitum napellus (tinctuur)";"Aconitum napellus (teinture)";"Aconitum napellus";"tinctuur [plantaardig]";;"Aconitum napellus";"teinture [végétal]";;true;false
"02146";"edoxaban";"édoxaban";"edoxaban";;;"édoxaban";;;true;false
"02498";"thiosulfaat natrium";"thiosulfate sodium";"thiosulfaat";"pentahydraat";"natrium";"thiosulfate";"pentahydraté";"sodium";true;false
"02501";"upadacitinib";"upadacitinib";"upadacitinib";"hemihydraat";;"upadacitinib";"hémihydraté";;true;false
"02494";"ertugliflozine";"ertugliflozine";"ertugliflozine";;;"ertugliflozine";;;true;false
"02495";"ertugliflozine L-pyroglutaminezuur";"ertugliflozine acide L-pyroglutamique";"ertugliflozine";;"L-pyroglutaminezuur";"ertugliflozine";;"acide L-pyroglutamique";true;false
"01839";"Vitex agnus-castus (droog extract)";"Vitex agnus-castus (extrait sec)";"Vitex agnus-castus";"droog extract [plantaardig]";;"Vitex agnus-castus";"extrait sec [végétal]";;true;false
"02064";"eliglustat";"éliglustat";"eliglustat";;;"éliglustat";;;true;false
"02063";"clevidipine";"clévidipine";"clevidipine";;;"clévidipine";;;true;false
"02175";"Harpagophytum procumbens droog extract";"Harpagophytum procumbens extrait sec";"Harpagophytum procumbens";"DC./H. Zeyheri L.Decne, wortel, droog ethanol extract 60% V-V 1.5-3_1 [plantaardig]";"droog extract";"Harpagophytum procumbens";"DC./H. Zeyheri L.Decne, racine, extrait sec éthanolique 60% V-V 1.5-3_1 [végétal]";"extrait sec";true;false
"00701";"fenprocoumon";"phenprocoumone";"fenprocoumon";;;"phenprocoumone";;;true;false
"00219";"bismut subgallaat";"bismuth sous-gallate";"bismut";;"subgallaat";"bismuth";;"sous-gallate";true;false
"00580";"Echinacea purpurea (sap)";"Echinacea purpurea (suc)";"Echinacea purpurea";"sap [plantaardig]";;"Echinacea purpurea";"suc [végétal]";;true;false
"00848";"Hamamelis";"Hamamélis";"Hamamelis";"[plantaardig]";;"Hamamélis";"[végétal]";;true;false
"02505";"allergeenextract van berkenpollen";"extrait allergénique de pollen de bouleau blanc";"allergeenextract van berkenpollen";"Betula verrucosa [biologisch, plantaardig]";;"extrait allergénique de pollen de bouleau blanc";"Betula verrucosa [biologique, végétal]";;true;false
"01766";"totale proteïnen (waaronder fibrinogeen en fibronectine)";"protéines totales (y compris fibrinogène et fibronectine)";"totale proteïnen";"waaronder fibrinogeen en fibronectine [biologisch, humaan plasma]";;"protéines totales";"y compris fibrinogène et fibronectine [biologique, plasma humain]";;true;false
"00027";"actief chloor (onder vorm van natriumhypochloriet)";"chlore actif (sous forme d'hypochlorite de sodium)";"actief chloor";"onder vorm van natriumhypochloriet";;"chlore actif";"sous forme d'hypochlorite de sodium";;true;false
"00118";"apraclonidine hydrochloride";"apraclonidine chlorhydrate";"apraclonidine";;"hydrochloride";"apraclonidine";;"chlorhydrate";true;false
"00164";"Ballota foetida (vloeibaar extract)";"Ballota foetida (extrait fluide)";"Ballota foetida";"vloeibaar extract [plantaardig]";;"Ballota foetida";"extrait fluide [végétal]";;true;false
"01283";"nonacog alfa";"nonacog alfa";"nonacog alfa";"[biologisch, biosynthetisch]";;"nonacog alfa";"[biologique, biosynthétique]";;true;false
"01195";"mivacurium";"mivacurium";"mivacurium";;;"mivacurium";;;true;false
"00926";"influenzavirus (geïnactiveerd, trivalent)";"virus influenza (inactivés, trivalent)";"influenzavirus";"geïnactiveerd, trivalent [biologisch, viraal]";;"virus influenza";"inactivés, trivalent [biologique, viral]";;true;false
